user_id,user_name,gender,age,register_time,register_channel,user_region_id,user_province_name,user_region_level,user_province_population,user_province_gdp,total_purchase_times,total_purchase_amount,last_purchase_time,click_count,cart_count
100001,changlei,M,57,2024/11/23 4:03,App Store,23,云南省,二线,5055,27159,7,1919.83,2024/12/27 23:59,126,21
100002,jungao,F,43,2024/1/13 10:00,Web,9,黑龙江省,二线,4926,79092,1,315.54,2024/7/8 23:59,16,7
100003,zhengxia,F,39,2024/5/5 8:07,Android Market,20,海南省,二线,5551,78148,6,1699.64,2024/11/27 23:59,90,24
100004,yanping,Unknown,58,2024/3/12 3:43,Android Market,1,北京市,一线,7770,75725,2,888.16,2024/9/24 23:59,20,14
100005,changgang,F,28,2024/12/12 19:51,Web,8,吉林省,二线,966,21394,8,2699.37,2024/12/29 23:59,152,56
100006,junwang,M,35,2024/2/14 21:29,WeChat,1,北京市,一线,7770,75725,2,645.13,2024/9/15 23:59,12,12
100007,xiejuan,M,24,2024/8/4 1:09,Android Market,18,湖南省,新一线,2933,86552,6,1489.5,2024/12/10 23:59,66,36
100008,cjiang,M,43,2024/1/16 3:24,Android Market,6,山西省,二线,6234,76803,4,467.65,2024/10/22 23:59,20,20
100009,chao26,M,58,2024/4/21 8:28,Android Market,7,辽宁省,新一线,6765,41551,9,1779.56,2024/12/6 23:59,45,63
100010,lei23,F,26,2024/9/15 21:55,Referral,6,山西省,二线,6234,76803,4,1943.01,2024/12/10 23:59,72,8
100011,guiying16,M,43,2024/1/14 20:26,Web,16,河南省,新一线,11083,83969,4,835.62,2024/10/22 23:59,52,24
100012,moming,M,30,2024/4/11 23:39,WeChat,8,吉林省,二线,966,21394,6,661.77,2024/11/24 23:59,108,12
100013,fang78,Unknown,19,2024/12/25 19:50,Android Market,1,北京市,一线,7770,75725,6,2518.84,2024/12/31 23:59,36,30
100014,qiangang,M,27,2024/8/2 8:01,Android Market,28,内蒙古自治区,二线,9774,99475,1,121.19,2024/10/17 23:59,15,4
100015,yang95,Unknown,32,2024/8/17 21:27,Referral,22,贵州省,二线,1684,58555,2,981.02,2024/11/16 23:59,14,14
100016,yandeng,F,43,2024/5/22 0:14,WeChat,6,山西省,二线,6234,76803,6,2050.47,2024/11/30 23:59,66,12
100017,zhangjun,M,22,2024/3/22 15:23,App Store,20,海南省,二线,5551,78148,6,2648.64,2024/11/21 23:59,42,18
100018,gang31,M,48,2024/6/23 10:07,App Store,8,吉林省,二线,966,21394,4,631.07,2024/11/23 23:59,68,28
100019,dliang,M,23,2024/3/20 7:50,App Store,15,山东省,新一线,1269,18792,3,1222.81,2024/10/21 23:59,51,9
100020,jing55,F,22,2024/6/21 3:43,App Store,7,辽宁省,新一线,6765,41551,6,1716.87,2024/12/4 23:59,36,30
100021,yongli,M,38,2024/2/17 13:49,Android Market,1,北京市,一线,7770,75725,6,1499.5,2024/11/16 23:59,78,18
100022,yaoyang,F,56,2024/2/19 13:04,Android Market,20,海南省,二线,5551,78148,9,1669.34,2024/11/30 23:59,153,63
100023,xiakong,F,57,2024/6/25 21:58,App Store,5,河北省,二线,11784,66886,9,1096.33,2024/12/13 23:59,153,63
100024,qiangqian,F,24,2024/5/15 1:34,App Store,12,安徽省,二线,11611,90038,5,1630.61,2024/11/23 23:59,35,25
100025,yang83,F,36,2024/8/23 19:31,App Store,5,河北省,二线,11784,66886,6,1484.05,2024/12/13 23:59,30,42
100026,fang30,F,42,2024/3/4 13:46,WeChat,31,宁夏回族自治区,三线,2547,87189,4,1686.91,2024/11/1 23:59,72,28
100027,na41,M,42,2024/2/10 20:05,WeChat,29,广西壮族自治区,二线,3058,29457,7,3120.99,2024/11/21 23:59,126,21
100028,xiulanlu,F,50,2024/5/30 22:53,WeChat,7,辽宁省,新一线,6765,41551,5,577.85,2024/11/26 23:59,35,25
100029,yangwan,F,22,2024/11/12 13:10,Web,28,内蒙古自治区,二线,9774,99475,7,1327.14,2024/12/25 23:59,105,14
100030,dyuan,F,56,2024/10/22 7:00,WeChat,1,北京市,一线,7770,75725,5,889.13,2024/12/20 23:59,40,10
100031,leigao,M,19,2024/12/26 2:31,Web,34,澳门特别行政区,一线,10498,50757,4,1297.31,2024/12/30 23:59,60,12
100032,xiaxia,M,53,2024/1/24 8:17,Web,29,广西壮族自治区,二线,3058,29457,6,840.09,2024/11/13 23:59,54,12
100033,xiulan69,M,26,2024/5/28 2:54,Android Market,19,广东省,一线,5811,33897,5,705.97,2024/11/25 23:59,85,35
100034,opan,F,36,2024/4/29 3:40,App Store,33,香港特别行政区,一线,9667,62995,2,789.19,2024/10/10 23:59,14,4
100035,weiwan,M,43,2024/7/13 10:07,Android Market,29,广西壮族自治区,二线,3058,29457,4,423.84,2024/11/27 23:59,48,28
100036,cuiguiying,M,42,2024/8/20 23:08,WeChat,11,浙江省,新一线,11863,51606,11,1399.27,2024/12/20 23:59,198,66
