feature,importance
rolling_mean_30,120522.3641037941
weekofyear,35028.89977121353
segment_低频_qty,22611.62531399727
rolling_std_14,14478.32283757627
rolling_std_30,12109.814774513245
rolling_mean_14,9361.04756784439
segment_中频_qty,7912.247904539108
rolling_mean_7,6760.071640491486
price,5826.625937461853
rolling_max_14,5311.648239463568
month,4665.13459777832
day,4452.226610183716
rolling_max_30,3094.298412799835
rolling_std_7,2777.3802655935287
lag_7_ratio,1936.6550269126892
lag_30_ratio,1286.0481243133545
lag_1,1218.6328902244568
rolling_max_7,1218.0251903533936
segment_新客_qty,1072.3902897834778
lag_14,1022.4502105712891
lag_7,1016.4404983520508
lag_30,813.4186544418335
lag_3,680.4459648132324
dayofweek,508.71752309799194
year,0.0
is_month_end,0.0
is_weekend,0.0
is_month_start,0.0
is_hot,0.0
segment_高频_qty,0.0
