feature,importance
segment_低频_qty,21488.262405395508
weekofyear,17617.512979507446
segment_中频_qty,10005.863850593567
rolling_mean_30,7872.8778710365295
rolling_std_14,2643.284029006958
rolling_std_30,2514.734836578369
day,2402.4173069000244
month,1502.021224975586
rolling_mean_7,1345.2610726356506
lag_30_ratio,608.9657859802246
rolling_mean_14,538.9646987915039
rolling_std_7,451.5311107635498
lag_3,414.09191131591797
lag_7_ratio,194.28429985046387
lag_30,92.77641677856445
dayofweek,30.781270027160645
rolling_max_30,0.0
segment_新客_qty,0.0
rolling_max_14,0.0
price,0.0
rolling_max_7,0.0
is_hot,0.0
lag_14,0.0
lag_7,0.0
lag_1,0.0
is_month_end,0.0
is_month_start,0.0
is_weekend,0.0
year,0.0
segment_高频_qty,0.0
