feature,importance
weekofyear,39610.963596343994
segment_中频_qty,22568.86837607622
month,13282.379670858383
rolling_std_30,7609.54942792654
day,3676.406816571951
segment_低频_qty,2394.2923913002014
rolling_std_14,2082.5721656680107
lag_30_ratio,1474.2278790473938
rolling_mean_7,861.0278961062431
rolling_mean_14,779.4908783435822
lag_7_ratio,737.0813212394714
rolling_mean_30,695.6859607100487
rolling_max_14,682.7199659347534
segment_新客_qty,680.259740293026
rolling_std_7,469.1989018917084
lag_1,341.52825060486794
lag_30,308.85830295085907
lag_7,283.65153139829636
lag_3,279.0472403764725
dayofweek,114.19676125049591
rolling_max_7,92.34020066261292
lag_14,39.5070995092392
is_weekend,2.1083500385284424
price,0.0
rolling_max_30,0.0
is_hot,0.0
is_month_end,0.0
is_month_start,0.0
year,0.0
segment_高频_qty,0.0
