order_date,product_id,product_name,category,brand,price,is_hot,product_region_level,daily_qty,daily_amount,daily_orders,daily_users,year,month,day,dayofweek,weekofyear,is_weekend,is_month_start,is_month_end,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_mean_30,rolling_std_30,rolling_max_30,lag_7_ratio,lag_30_ratio,target_7d,segment_新客_qty,segment_低频_qty,segment_中频_qty,segment_高频_qty
2024-02-12,200530,花西子 空气蜜粉,美妆护肤,花西子,335.4,1.0,二线,1.0,301.86,1.0,1.0,2024,2,12,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,84,0
2024-02-13,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,13,1,7,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,56,61,0
2024-02-14,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,14,2,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,56,69,0
2024-02-15,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,15,3,7,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,51,68,0
2024-02-16,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,16,4,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,86,0
2024-02-17,200530,花西子 空气蜜粉,美妆护肤,花西子,335.4,1.0,二线,1.0,301.86,1.0,1.0,2024,2,17,5,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55,49,0
2024-02-18,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,18,6,7,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7,57,91,0
2024-02-19,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,19,0,8,0,0,0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.48795003647426666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,56,87,0
2024-02-20,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,20,1,8,0,0,0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,65,89,0
2024-02-21,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,21,2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,46,82,0
2024-02-22,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,22,3,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2,71,91,0
2024-02-23,200530,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024,2,23,4,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,71,76,0
2024-02-24,200530,花西子 空气蜜粉,美妆护肤,花西子,335.4,1.0,二线,2.0,670.8,1.0,1.0,2024,2,24,5,8,1,0,0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.3779644730092273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1,55,88,0
